Mix,Machine family,Jobs visiting family %,Mean visits/job
Historical jobs,Honing,5.830903790087463,0.11661807580174927
Historical jobs,Milling,65.3061224489796,1.1137026239067056
Historical jobs,Turning,44.89795918367348,1.5743440233236154
Historical jobs,WireEDM,3.206997084548105,0.03206997084548105
Uniform,Honing,10.526315789473683,0.21052631578947367
Uniform,Milling,68.42105263157893,1.4736842105263157
Uniform,Turning,68.42105263157895,2.736842105263158
Uniform,WireEDM,10.526315789473683,0.10526315789473684
50% historical + 50% uniform,Honing,8.178609789780573,0.16357219579561147
50% historical + 50% uniform,Milling,66.86358754027925,1.2936934172165107
50% historical + 50% uniform,Turning,56.659505907626205,2.1555930642933867
50% historical + 50% uniform,WireEDM,6.866656437010894,0.06866656437010894
