Target quantity mean,Day workers,Night workers,Manual min/job (approx.),Machine-only lambda at 75%,Human-only lambda at 75%,Joint analytical candidate jobs/day,Binding analytical resource,Walking/setup/transport
150,14,7,709.7351797862005,23.441251875965616,12.36376644404659,12.36376644404659,human,excluded; not stable-rate confirmation
150,20,10,709.7351797862005,23.441251875965616,17.66252349149513,17.66252349149513,human,excluded; not stable-rate confirmation
150,28,14,709.7351797862005,23.441251875965616,24.72753288809318,23.441251875965616,machine,excluded; not stable-rate confirmation
175,14,7,835.0860058309037,19.823866881105808,10.507899711801478,10.507899711801478,human,excluded; not stable-rate confirmation
175,20,10,835.0860058309037,19.823866881105808,15.01128530257354,15.01128530257354,human,excluded; not stable-rate confirmation
175,28,14,835.0860058309037,19.823866881105808,21.015799423602957,19.823866881105808,machine,excluded; not stable-rate confirmation
200,14,7,961.4096209912536,17.18854395320176,9.127222994661325,9.127222994661325,human,excluded; not stable-rate confirmation
200,20,10,961.4096209912536,17.18854395320176,13.038889992373322,13.038889992373322,human,excluded; not stable-rate confirmation
200,28,14,961.4096209912536,17.18854395320176,18.25444598932265,17.18854395320176,machine,excluded; not stable-rate confirmation
