Variant,Mean,Median,Std,CV,P25,P75,P95,Max,Share at minimum (%),Share at maximum (%)
Historical proxy,2397.708454810496,475.0,5776.189845488731,2.409045951312398,111.0,2017.0,9733.699999999997,50300.0,0.5830903790087464,0.2915451895043732
Linear rescale to 175,175.0058309037901,35.0,421.5786607708734,2.4089406541124756,8.0,147.5,710.2999999999998,3671.0,6.997084548104956,0.2915451895043732
Sqrt + bounds 25..600,175.02915451895043,118.0,157.12351929968767,0.897699127505503,57.0,244.0,535.8,600.0,6.997084548104956,3.498542274052478
